"country","iso2c","year","date","violence","violence_y_cum","maj","system","govfrac","pr","liec","single_party","disproportionality","high_prop","polity2","dem_age","gdp_per_capita","women_in_parl","immunity","dom_personal_vote","ethnic_alesina","higher_trust","cw_surv_self_expr","polconiii","polconv","federal","murder_rate","enpv","enps","type_of_conflict","internal_conflict","gini","internal_conflict_lag2","internal_conflict_lead2"
"Andorra","AD","2001",NA,0,0,NA,NA,NA,NA,NA,NA,9.97,0,NA,NA,29.2988442109536,14.3,NA,NA,0.713946,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0
"Andorra","AD","2005",NA,0,0,NA,NA,NA,NA,NA,NA,6.1,1,NA,NA,31.2689667449795,28.6,NA,NA,0.713946,0,1.15798282623291,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0
"Andorra","AD","2009",NA,0,0,NA,NA,NA,NA,NA,NA,8.41,0,NA,NA,NA,35.7,NA,NA,0.713946,0,1.15798282623291,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"Andorra","AD","2011",NA,0,0,NA,NA,NA,NA,NA,NA,17.2,0,NA,NA,NA,50,NA,NA,0.713946,0,1.15798282623291,NA,NA,NA,NA,2.35,1.78,0,0,NA,0,NA
"United Arab Emirates","AE","1980",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,81.9472444775674,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1981",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,79.8019383881056,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1982",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,70.2465514466845,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1983",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,63.6306707543434,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1984",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,62.9781349452754,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1985",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,57.5634410837135,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1986",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,46.218866364985,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1987",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,45.0098454999663,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1988",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,41.2605449279745,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
"United Arab Emirates","AE","1989",NA,0,0,100,0,0,NA,2,1,NA,NA,NA,NA,43.6926119848198,0,1,NA,0.6252,NA,NA,0,0.666700005531311,NA,NA,NA,NA,0,0,NA,0,0
