Country,Day,Month,Year,Legislative Chamber,Numbers of Legislators Involved,Parties of Combatants,Issue Scuffle is Over,Link to source
Afghanistan,8,5,2006,lower house,4,"Islamic Unity Party, Islamic Society Party, Islamic Pary, and Mlalaijoya",government criticism,http://www.boston.com/news/world/asia/articles/2006/05/09/afghan_legislator_attacked_for_views/
Bolivia ,23,8,2007,lower house,20 to 30 ,government and opposition,controversial trial of judges,http://abcnews.go.com/International/video?id=3515466
Bulgaria,22,11,1990,lower house,unknown,government and opposition,vote of no confidence,http://pqasb.pqarchiver.com/thestar/access/472370481.html?FMT=ABS&FMTS=ABS:FT&type=current&date=Nov+23%2C+1990&author=(REUTER)&pub=Toronto+Star&desc=Bulgarian+deputies+scuffle+in+parliament&pqatl=google
Croatia,15,2,2001,lower house,2,Croatian Democratic Union (government) and Istrian Democratic Assembly,controversial trial of retired general,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=BBAB&d_place=BBAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F979F3AC7F8B43A&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
Ecuador,22,8,1985,lower house,10 to 20,Democratic Popular Movement (opposition) and Government Coalition parties ,a question that enraged member of the governmnet,"http://news.google.com/newspapers?id=75QgAAAAIBAJ&sjid=_2cFAAAAIBAJ&pg=2928,4106503&dq=ecuador+parliament+brawl+%7C+scuffle&hl=en"
Georgia,5,11,2002,lower house,11,United National Movement and New Rights Party (both opposition),accusation of corruption,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=BBAB&d_place=BBAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F97EC099B28B973&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
Georgia,1,7,2005,lower house,10 to 20,United National Movement (government) and  Conservative Party (opposition),call for resignation of Minister,http://www.eurasianet.org/departments/civilsociety/articles/eav070105.shtml
Ghana,26,7,2007,lower house,2,National Democratic Congress (opposition),unknown,http://allafrica.com/stories/200707270713.html
Haiti,11,1,1994,joint session,10 to 20,all,policy debate - political,"http://news.google.com/newspapers?id=58AjAAAAIBAJ&sjid=89AFAAAAIBAJ&pg=6489,930318&dq=france+national+assembly+brawl+%7C+scuffle&hl=en"
Haiti,8,11,1994,lower house,3,unknown,cabinet appointment of member of former military regime,"http://news.google.com/newspapers?id=kg5KAAAAIBAJ&sjid=SIUMAAAAIBAJ&pg=4684,5130561&dq=haiti+parliament+brawl+%7C+scuffle&hl=en"
India,17,2,1981,lower house,5 to 10,Congress Party(government) and opposition parties,policy debate - regional,"http://news.google.com/newspapers?id=SAAhAAAAIBAJ&sjid=CnUFAAAAIBAJ&pg=3094,2889151&dq=india+parliament+brawl+%7C+scuffle+%7C+melee&hl=en"
