"Country","Year","Gini"
"Afghanistan",2007,29
"Afghanistan",2008,27.8
"Albania",1996,28
"Albania",1997,29.1
"Albania",2002,28.1
"Albania",2002,28.2
"Albania",2004,31.1
"Albania",2004,31.1
"Albania",2005,33
"Albania",2008,34.5
"Algeria",1988,40.1
"Algeria",1988,40.2
"Algeria",1995,35.3
"Algeria",1995,35.3
"Angola",2000,58.6
"Angola",2009,38
"Angola",2009,50
"Angola",2009,55
"Angola",2009,39
"Angola",2009,55
"Angola",2009,43
"Argentina",1953,41.2
"Argentina",1953,40
"Argentina",1959,46.3
"Argentina",1959,44.7
"Argentina",1961,42
"Argentina",1961,53.1
"Argentina",1961,43.4
"Argentina",1961,43.8
"Argentina",1961,49
"Argentina",1961,42.3
"Argentina",1961,41.9
"Argentina",1961,42
"Argentina",1961,47.8
"Argentina",1961,42.5
"Argentina",1961,50.8
"Argentina",1961,47.7
"Argentina",1961,40.7
"Argentina",1963,38.5
"Argentina",1963,37.3
"Argentina",1963,35.8
"Argentina",1965,35.3
"Argentina",1969,37.3
"Argentina",1970,41.1
"Argentina",1970,36.1
"Argentina",1972,35.3
"Argentina",1972,33.4
"Argentina",1974,32
"Argentina",1974,34.4
"Argentina",1974,36
"Argentina",1975,34.7
"Argentina",1975,36.1
"Argentina",1976,35.2
"Argentina",1977,40.3
"Argentina",1978,43.4
"Argentina",1979,41.3
"Argentina",1980,38
"Argentina",1980,40.5
"Argentina",1980,40.8
"Argentina",1980,41.6
"Argentina",1981,42.8
"Argentina",1981,42.7
"Argentina",1982,40.2
"Argentina",1983,40.4
"Argentina",1985,39.8
"Argentina",1986,41
"Argentina",1987,43.3
"Argentina",1988,45.2
"Argentina",1988,44
"Argentina",1989,47.6
"Argentina",1990,43.1
"Argentina",1991,44
"Argentina",1991,44.1
"Argentina",1992,43
"Argentina",1992,42
"Argentina",1992,43.6
"Argentina",1993,42
"Argentina",1993,NA
"Argentina",1994,43.8
"Argentina",1994,NA
"Argentina",1994,43
"Argentina",1995,46
"Argentina",1995,46.3
"Argentina",1995,NA
"Argentina",1996,NA
"Argentina",1996,46
"Argentina",1996,47.7
"Argentina",1996,45.8
"Argentina",1997,NA
"Argentina",1997,44.8
"Argentina",1997,46
"Argentina",1998,48
"Argentina",1998,NA
"Argentina",1998,NA
"Argentina",1998,46.7
"Argentina",1998,49.4
"Argentina",1998,48
"Argentina",1999,47
"Argentina",1999,NA
"Argentina",2000,NA
"Argentina",2000,48
"Argentina",2001,NA
"Argentina",2001,50
"Argentina",2002,NA
"Argentina",2002,51
"Argentina",2003,52
"Argentina",2003,51
"Argentina",2003,50
"Argentina",2003,51
"Argentina",2003,NA
"Argentina",2003,NA
"Argentina",2004,48
"Argentina",2004,47
"Argentina",2004,NA
"Argentina",2004,NA
"Argentina",2005,47
"Argentina",2005,NA
"Argentina",2005,NA
"Argentina",2005,47
"Argentina",2006,NA
"Argentina",2006,46
"Argentina",2006,NA
"Argentina",2006,45
"Argentina",2007,45
"Argentina",2007,NA
"Argentina",2007,45
"Argentina",2007,NA
"Argentina",2008,44
"Argentina",2008,44
"Argentina",2008,NA
"Argentina",2008,NA
"Argentina",2009,43
"Argentina",2009,43
"Argentina",2010,42
"Argentina",2010,42
"Argentina",2011,41
"Armenia",1986,26.9
"Armenia",1988,28
"Armenia",1989,25.8
"Armenia",1989,25.9
"Armenia",1990,26.9
"Armenia",1991,29.6
"Armenia",1992,35.5
"Armenia",1993,36.6
"Armenia",1994,32.1
"Armenia",1995,38.1
"Armenia",1996,61.3
"Armenia",1996,48.2
"Armenia",1996,66
"Armenia",1996,45.7
"Armenia",1996,42
"Armenia",1998,55.5
"Armenia",1998,36.5
"Armenia",1999,36
"Armenia",2000,48.6
"Armenia",2001,36.2
"Armenia",2002,35.9
"Armenia",2003,54.3
"Armenia",2003,48.4
"Armenia",2004,45.5
"Armenia",2005,43.4
"Armenia",2006,40
"Armenia",2007,30.2
"Armenia",2007,NA
"Armenia",2008,NA
"Armenia",2008,33.9
"Armenia",2009,NA
"Armenia",2009,35.5
"Armenia",2010,NA
"Armenia",2010,36.2
"Armenia",2011,37.1
"Armenia",2011,NA
"Australia",1942,23.5
"Australia",1942,34.8
"Australia",1943,34.9
"Australia",1944,34.1
"Australia",1944,23.1
"Australia",1945,34.4
"Australia",1945,23.7
"Australia",1946,23.6
"Australia",1946,33.6
"Australia",1947,26.2
"Australia",1947,35.5
"Australia",1948,26.5
"Australia",1948,35.8
"Australia",1949,36.4
"Australia",1949,27.2
"Australia",1950,42.7
"Australia",1950,30.3
"Australia",1951,34.8
"Australia",1951,22.7
"Australia",1952,34.1
"Australia",1952,23.5
"Australia",1953,32
"Australia",1953,23
"Australia",1954,32
"Australia",1954,23.5
"Australia",1955,32.7
"Australia",1955,23.6
"Australia",1956,24
"Australia",1956,31.5
"Australia",1957,30.4
"Australia",1957,23.4
"Australia",1958,30.8
"Australia",1958,24.3
"Australia",1959,24.7
"Australia",1959,30.9
"Australia",1960,24.7
"Australia",1960,30.9
"Australia",1961,24.9
"Australia",1961,30.9
"Australia",1962,25.2
"Australia",1962,31.5
"Australia",1962,41.6
"Australia",1963,24.9
"Australia",1963,31.2
"Australia",1964,30.5
"Australia",1964,24.1
"Australia",1965,30.3
"Australia",1965,24.2
"Australia",1966,30.7
"Australia",1966,24.5
"Australia",1967,32
"Australia",1967,30.8
"Australia",1967,24.7
"Australia",1967,31.2
"Australia",1968,24.7
"Australia",1968,33.5
"Australia",1968,30.9
"Australia",1968,31.7
"Australia",1968,33.2
"Australia",1969,31.2
"Australia",1969,32
"Australia",1969,24.8
"Australia",1970,25
"Australia",1970,31
"Australia",1971,24.9
"Australia",1971,30.8
"Australia",1972,22.5
"Australia",1972,28.2
"Australia",1973,22.9
"Australia",1973,29.1
"Australia",1974,20.9
"Australia",1974,29.3
"Australia",1975,18.1
"Australia",1975,26.6
"Australia",1976,34.3
"Australia",1976,18.7
"Australia",1976,34.5
"Australia",1976,33
"Australia",1976,27
"Australia",1977,27.1
"Australia",1977,19.4
"Australia",1978,18
"Australia",1978,38.1
"Australia",1978,26.1
"Australia",1979,26.7
"Australia",1979,39.3
"Australia",1979,19
"Australia",1980,27.8
"Australia",1980,20.1
"Australia",1981,40
"Australia",1981,28
"Australia",1981,32.3
"Australia",1981,20.4
"Australia",1981,31
"Australia",1982,28.3
"Australia",1982,20.7
"Australia",1983,28.9
"Australia",1983,21.3
"Australia",1984,29.5
"Australia",1984,20.7
"Australia",1985,20.7
"Australia",1985,32.5
"Australia",1985,30.2
"Australia",1986,32.2
"Australia",1986,36.4
"Australia",1986,35.2
"Australia",1986,30.9
"Australia",1986,53.2
"Australia",1986,21.1
"Australia",1986,42
"Australia",1987,32.5
"Australia",1987,23.4
"Australia",1988,34.9
"Australia",1988,26.3
"Australia",1989,33.5
"Australia",1989,33.3
"Australia",1989,24.2
"Australia",1989,33.6
"Australia",1990,33
"Australia",1990,43.7
"Australia",1990,42.7
"Australia",1990,25.4
"Australia",1990,37.5
"Australia",1990,54.3
"Australia",1990,33.8
"Australia",1990,30.9
"Australia",1991,34.2
"Australia",1991,25.9
"Australia",1992,34.8
"Australia",1992,26.5
"Australia",1993,35
"Australia",1993,26.7
"Australia",1994,25.5
"Australia",1994,35.3
"Australia",1995,43.6
"Australia",1995,33.8
"Australia",1995,46.7
"Australia",1995,44.3
"Australia",1995,38.5
"Australia",1995,30.9
"Australia",1995,57
"Australia",1995,28.3
"Australia",1995,35.9
"Australia",1995,30.2
"Australia",1996,29.6
"Australia",1996,28.8
"Australia",1996,36.5
"Australia",1996,44.4
"Australia",1997,29.2
"Australia",1997,29.2
"Australia",1997,37
"Australia",1997,43.7
"Australia",1998,30.3
