country,iso2c,date,one_source_url,
Afghanistan,AF,2006-05-08,http://www.boston.com/news/world/asia/articles/2006/05/09/afghan_legislator_attacked_for_views/,
Afghanistan,AF,2011-07-06,http://www.ndtv.com/article/world/women-afghan-mps-fight-water-bottle-thrown-117012 ,
Argentina,AR,2010-11-01,http://www.theweek.co.uk/politics/47115/six-best-parliamentary-brawls-around-world#ixzz2kM6adCJQ,
"Bolivia, Plurinational State of",BO,2007-08-23,http://abcnews.go.com/International/video?id=3515466,
Bulgaria,BG,1990-11-22,http://pqasb.pqarchiver.com/thestar/access/472370481.html?FMT=ABS&FMTS=ABS:FT&type=current&date=Nov+23%2C+1990&author=(REUTER)&pub=Toronto+Star&desc=Bulgarian+deputies+scuffle+in+parliament&pqatl=google,
Croatia,HR,2001-02-15,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=BBAB&d_place=BBAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F979F3AC7F8B43A&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,
Ecuador,EC,1985-08-22,"http://news.google.com/newspapers?id=75QgAAAAIBAJ&sjid=_2cFAAAAIBAJ&pg=2928,4106503&dq=ecuador+parliament+brawl+%7C+scuffle&hl=en",
Georgia,GE,1996-04-06,http://www.lexisnexis.com.ezproxy.uky.edu/hottopics/lnacademic/ ,
Georgia,GE,2002-11-05,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=BBAB&d_place=BBAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F97EC099B28B973&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,
Georgia,GE,2005-07-01,http://www.eurasianet.org/departments/civilsociety/articles/eav070105.shtml,
Georgia,GE,2010-01-26,http://www.YouTube.com/watch?v=yeJ_g20xE8s,
Georgia,GE,2012-04-24,http://www.YouTube.com/watch?v=nU_87KAe21Y,
Ghana,GH,2007-07-26,http://allafrica.com/stories/200707270713.html,
Guinea-Bissau,GW,2006-02-23,http://www.lexisnexis.com.ezproxy.uky.edu/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T18708660127&format=GNBFI&sort=RELEVANCE&startDocNo=176&resultsUrlKey=29_T18708615339&cisb=22_T18708660130&treeMax=true&treeWidth=0&csi=10903&docNo=177 ,
Haiti,HT,1994-01-11,"http://news.google.com/newspapers?id=58AjAAAAIBAJ&sjid=89AFAAAAIBAJ&pg=6489,930318&dq=france+national+assembly+brawl+%7C+scuffle&hl=en",
